rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,e-value-kingdom,e-value-phylum,e-value-class,e-value-order,e-value-family,e-value-genus,per-ident-genus,per-ident-species
order,Fungi,Basidiomycota,Cystobasidiomycetes,,,,,,,,e-100,,,,
class,Fungi,Basidiomycota,Microbotryomycetes,,,,,,,e-75,,,,,
order,Fungi,Basidiomycota,Microbotryomycetes,,,,,,,,e-120,,,,
class,Fungi,Basidiomycota,Mixiomycetes,,,,,,,e-75,,,,,
order,Fungi,Basidiomycota,Mixiomycetes,,,,,,,,e-100,,,,
class,Fungi,Basidiomycota,Pucciniomycetes,,,,,,,e-75,,,,,
order,Fungi,Basidiomycota,Pucciniomycetes,,,,,,,,e-100,,,,
class,Fungi,Basidiomycota,Atractiellomycetes,,,,,,,e-75,,,,,
order,Fungi,Basidiomycota,Atractiellomycetes,,,,,,,,e-100,,,,
class,Fungi,Basidiomycota,Classiculomycetes,,,,,,,e-75,,,,,
order,Fungi,Basidiomycota,Classiculomycetes,,,,,,,,e-100,,,,
class,Fungi,Basidiomycota,Cryptomycocolacomycetes,,,,,,,e-75,,,,,
order,Fungi,Basidiomycota,Cryptomycocolacomycetes,,,,,,,,e-100,,,,
class,Fungi,Basidiomycota,Spiculogloeomycetes,,,,,,,e-75,,,,,
order,Fungi,Basidiomycota,Spiculogloeomycetes,,,,,,,,e-100,,,,
class,Fungi,Basidiomycota,Tritirachiomycetes,,,,,,,e-75,,,,,
order,Fungi,Basidiomycota,Tritirachiomycetes,,,,,,,,e-100,,,,
class,Fungi,Basidiomycota,Tremellomycetes,,,,,,,e-75,,,,,
order,Fungi,Basidiomycota,Tremellomycetes,,,,,,,,e-100,,,,
order,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,,,,,,,e-100,,,,
genus,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,,,,,,,,,,0.9,
order,Fungi,Basidiomycota,Agaricomycetes,Geastrales,,,,,,,e-90,,,,
genus,Fungi,Basidiomycota,Agaricomycetes,Geastrales,,,,,,,,,,0.9,
order,Fungi,Basidiomycota,Agaricomycetes,Gomphales,,,,,,,e-90,,,,
genus,Fungi,Basidiomycota,Agaricomycetes,Gomphales,,,,,,,,,,0.9,
order,Fungi,Basidiomycota,Agaricomycetes,Hysterangiales,,,,,,,e-90,,,,
genus,Fungi,Basidiomycota,Agaricomycetes,Hysterangiales,,,,,,,,,,0.9,
order,Fungi,Basidiomycota,Agaricomycetes,Phallales,,,,,,,e-100,,,,
genus,Fungi,Basidiomycota,Agaricomycetes,Phallales,,,,,,,,,,0.9,
